file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\blog_demos-master\leetcode\src\practice\RLEIterator.java,practice.RLEIterator,main/1[java.lang.String[]],FALSE,44,2,2,0,2,1,3,13,0,2,1,3,1,1,0,0,0,0,2,18,3,0,0,0,0,0,8,9,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\FactoryBean.java,org.springframework.beans.factory.FactoryBean,getObject/0,FALSE,55,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,TRUE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\FactoryBean.java,org.springframework.beans.factory.FactoryBean,getObjectType/0,FALSE,74,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,TRUE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\FactoryBean.java,org.springframework.beans.factory.FactoryBean,isSingleton/0,FALSE,95,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,TRUE
C:\blog_demos-master\mybatis\druidonesource\src\test\java\com\bolingcavalry\druidonesource\controller\UserControllerTest.java,com.bolingcavalry.druidonesource.controller.UserControllerTest,insertWithFields/0,FALSE,52,2,0,0,0,1,15,4,0,1,0,15,0,0,0,0,0,0,4,1,1,1,0,0,0,0,12,0,0,FALSE
C:\blog_demos-master\mybatis\druidonesource\src\test\java\com\bolingcavalry\druidonesource\controller\UserControllerTest.java,com.bolingcavalry.druidonesource.controller.UserControllerTest,delete/0,FALSE,80,5,1,0,1,1,21,6,0,3,0,21,0,0,0,0,0,0,4,3,3,2,0,0,0,0,19,0,0,FALSE
C:\blog_demos-master\mybatis\druidonesource\src\test\java\com\bolingcavalry\druidonesource\controller\UserControllerTest.java,com.bolingcavalry.druidonesource.controller.UserControllerTest,init/0,FALSE,46,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,8,0,FALSE
C:\blog_demos-master\mybatis\druidonesource\src\test\java\com\bolingcavalry\druidonesource\controller\UserControllerTest.java,com.bolingcavalry.druidonesource.controller.UserControllerTest,findByName/0,FALSE,70,2,0,0,0,1,10,3,0,0,0,10,0,0,0,0,0,0,2,2,0,1,0,0,0,0,11,0,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\access\el\SimpleSpringBeanELResolver.java,org.springframework.beans.factory.access.el.SimpleSpringBeanELResolver,SimpleSpringBeanELResolver/1[org.springframework.beans.factory.BeanFactory],TRUE,40,1,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,17,1,0,TRUE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\access\el\SimpleSpringBeanELResolver.java,org.springframework.beans.factory.access.el.SimpleSpringBeanELResolver,getBeanFactory/1[org.springframework.beans.factory.access.el.ELContext],FALSE,46,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,FALSE
C:\blog_demos-master\disruptor-tutorials\low-level-operate\src\main\java\com\bolingcavalry\LowLevelOperateApplication.java,com.bolingcavalry.LowLevelOperateApplication,main/1[java.lang.String[]],FALSE,8,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User027Mapper.java,com.ssm.dao.User027Mapper,selectByPrimaryKey/1[java.lang.Integer],FALSE,12,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User027Mapper.java,com.ssm.dao.User027Mapper,updateByPrimaryKeySelective/1[com.ssm.pojo.User],FALSE,14,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User027Mapper.java,com.ssm.dao.User027Mapper,deleteByPrimaryKey/1[java.lang.Integer],FALSE,6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User027Mapper.java,com.ssm.dao.User027Mapper,updateByPrimaryKey/1[com.ssm.pojo.User],FALSE,16,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User027Mapper.java,com.ssm.dao.User027Mapper,insert/1[com.ssm.pojo.User],FALSE,8,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User027Mapper.java,com.ssm.dao.User027Mapper,insertSelective/1[com.ssm.pojo.User],FALSE,10,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,FALSE
